canvas_course_id,course_id,short_name,long_name,account_id,term_id,status,start_date,end_date,course_format,blueprint_course_id
1,A00215,STAT215,Statistics,A002,201408,active,,,on_campus,A00210
2,B00300,ACCT300,Cost Accounting,B002,201408,active,,,online,B00290
3,B00310,ACCT310,Managerial Accounting,B002,201408,active,,,blended,B00305
4,A00462,PHY462,Nuclear Physics,A003,201408,active,,,on_campus,A00450
5,B00220,MKTG220,Marketing,B003,201408,active,,,on_campus,B00200
6,B00301,MKTG300,Market Research,B003,201408,active,,,on_campus,B00302
7,B00211,ECN211,Macro Economics,B020,201408,active,,,online,B00205
8,B00212,ECN212,Micro Economics,B020,201408,active,,,online,B00210
9,A00101,BIO101,Intro to Biology,A008,201408,active,,,blended,A00100
10,B00235,CIS235,Intro to Information Systems,B080,201408,active,,,blended,B00230
