notification,frequency,category
added_to_conversation,immediately,added_to_conversation
alert,daily,alert
assignment_resubmitted,never,all_submissions
assignment_submitted,never,all_submissions
submission_needs_grading,never,all_submissions
new_announcement,immediately,announcement
appointment_group_published,immediately,appointment_availability
appointment_group_updated,immediately,appointment_availability
appointment_deleted_for_user,immediately,appointment_cancelations
appointment_group_deleted,immediately,appointment_cancelations
appointment_reserved_for_user,immediately,appointment_signups
event_date_changed,never,calendar
new_event_created,never,calendar
conversation_message,immediately,conversation_message
assignment_changed,never,course_content
new_wiki_page,never,course_content
updated_wiki_page,never,course_content
new_discussion_topic,never,discussion
new_discussion_entry,daily,discussion_entry
assignment_created,weekly,due_date
assignment_due_date_changed,weekly,due_date
assignment_due_date_override_changed,weekly,due_date
new_file_added,never,files
new_files_added,never,files
assignment_graded,immediately,grading
assignment_unmuted,immediately,grading
quiz_regrade_finished,immediately,grading
submission_grade_changed,immediately,grading
submission_graded,immediately,grading
grade_weight_changed,weekly,grading_policies
collaboration_invitation,immediately,invitation
new_context_group_membership_invitation,immediately,invitation
peer_review_invitation,immediately,invitation
rubric_assessment_invitation,immediately,invitation
rubric_assessment_submission_reminder,immediately,invitation
rubric_association_created,immediately,invitation
web_conference_invitation,immediately,invitation
assignment_submitted_late,daily,late_grading
group_assignment_submitted_late,daily,late_grading
enrollment_accepted,daily,membership_update
group_membership_accepted,daily,membership_update
group_membership_rejected,daily,membership_update
new_context_group_membership,daily,membership_update
content_export_failed,immediately,migration
content_export_finished,immediately,migration
migration_export_ready,immediately,migration
migration_import_failed,immediately,migration
migration_import_finished,immediately,migration
new_account_user,daily,other
new_course,daily,other
new_student_organized_group,daily,other
new_teacher_registration,daily,other
new_teacher_registration_immediate,daily,other
new_user,daily,other
report_generated,daily,other
report_generation_failed,daily,other
teacher_context_message,daily,other
account_user_notification,immediately,registration
account_user_registration,immediately,registration
canvasnet_migration,immediately,registration
confirm_email_communication_channel,immediately,registration
confirm_registration,immediately,registration
confirm_sms_communication_channel,immediately,registration
course_already_started,immediately,registration
course_required_materials,immediately,registration
course_started,immediately,registration
course_starts_in_week,immediately,registration
enrollment_invitation,immediately,registration
enrollment_notification,immediately,registration
enrollment_registration,immediately,registration
forgot_password,immediately,registration
merge_email_communication_channel,immediately,registration
pseudonym_registration,immediately,registration
self_enrollment_registration,immediately,registration
twd_migration_existing,immediately,registration
twd_migration_existing_late,immediately,registration
twd_migration_new,immediately,registration
twd_migration_new_late,immediately,registration
assignment_due_date_reminder,daily,reminder
assignment_grading_reminder,daily,reminder
assignment_publishing_reminder,daily,reminder
appointment_canceled_by_user,never,student_appointment_signups
appointment_reserved_by_user,never,student_appointment_signups
submission_comment,daily,submission_comment
submission_comment_for_teacher,daily,submission_comment
summaries,daily,summaries
